model,order,term,variable_label,channel,evidence_class,association_direction,significance_level,coefficient,standard_error,p_value,ci_lower,ci_upper,interpretation_note,t_statistic
DIVX,12,innov,Innovación,Capacidades productivas,Control,Positiva,No significativo,.011198,.013647,.415935,-.01624,.038636,Control incluido en la especificación; interpretar con cautela.,.820592
DIVX,13,net,Conectividad digital,Capacidades productivas,Complementaria,Negativa,Significativo al 5%,-.000741,.000353,.040731,-.00145,-.000033,Resultado complementario DIVX; requiere sensibilidad específica antes de una interpretación estructural.,-2.103028
DIVX,14,log_gdppc,Logaritmo del PIB per cápita PPA,Controles económicos y financie,Complementaria,Negativa,Significativo al 1%,-.145551,.035052,.000134,-.216028,-.075074,Resultado complementario DIVX; requiere sensibilidad específica antes de una interpretación estructural.,-4.15241
DIVX,15,govcons,Consumo final del gobierno (% PIB),Controles económicos y financie,Complementaria,Positiva,Significativo al 10%,.003239,.001763,.07236,-.000306,.006783,Resultado complementario DIVX; requiere sensibilidad específica antes de una interpretación estructural.,1.837301
DIVX,16,fin,Profundidad financiera,Controles económicos y financie,Control,Positiva,No significativo,.000605,.000367,.10604,-.000133,.001343,Control incluido en la especificación; interpretar con cautela.,1.647243
ECI,1,rents,Rentas extractivas del subsuelo (% PIB),Institucional,Central,Negativa,Significativo al 5%,-.009795,.004181,.023337,-.018202,-.001388,Asociación agregada central; la estabilidad se evalúa en la sección 7 y no implica causalidad.,-2.342711
ECI,2,inst,Calidad institucional (INST),Institucional,Complementaria,Positiva,Significativo al 10%,.266705,.136729,.056955,-.008207,.541617,Resultado complementario del modelo ECI; no constituye evidencia causal.,1.950613
ECI,3,c.rents#c.inst,Interacción entre rentas y calidad institucional,Institucional,No concluyente,Negativa,No significativo,-.005199,.003453,.138759,-.012142,.001744,No hay evidencia estadística suficiente de moderación institucional.,-1.505457
ECI,4,ln1p_oilpc,ln(1 + OILPC),Abundancia de recursos,No concluyente,Positiva,No significativo,.028347,.037603,.454618,-.047258,.103953,No se distingue una asociación individual robusta por recurso en esta especificación agregada.,.753855
ECI,5,ln1p_gaspc,ln(1 + GASPC),Abundancia de recursos,No concluyente,Positiva,No significativo,.039635,.0343,.253587,-.029329,.108598,No se distingue una asociación individual robusta por recurso en esta especificación agregada.,1.155545
ECI,6,ln1p_coalpc,ln(1 + COALPC),Abundancia de recursos,No concluyente,Positiva,No significativo,.010906,.02643,.681723,-.042236,.064047,No se distingue una asociación individual robusta por recurso en esta especificación agregada.,.412619
ECI,7,hhi,Concentración exportadora (HHI),Estructura exportadora,Complementaria,Negativa,Significativo al 5%,-.535483,.225234,.021465,-.988346,-.082619,Resultado complementario del modelo ECI; no constituye evidencia causal.,-2.377449
ECI,8,pexp,Exportaciones primarias no energéticas,Estructura exportadora,Central comparativa,Negativa,Significativo al 1%,-.004199,.001565,.009975,-.007346,-.001053,El signo opuesto entre modelos distingue diversificación exportadora y complejidad económica.,-2.683181
ECI,9,fexp,Exportaciones de combustibles,Estructura exportadora,Complementaria,Negativa,Significativo al 1%,-.0068,.001884,.000732,-.010589,-.003012,Resultado complementario del modelo ECI; no constituye evidencia causal.,-3.608836
ECI,10,vol,Volatilidad de términos de intercambio,Condiciones macroeconómicas,Control,Negativa,No significativo,-.002903,.002447,.24145,-.007823,.002018,Control incluido en la especificación; interpretar con cautela.,-1.186026
ECI,11,rer,Tipo de cambio real,Condiciones macroeconómicas,Control,Negativa,No significativo,-.087319,.098443,.3795,-.285251,.110613,Control incluido en la especificación; interpretar con cautela.,-.887004
ECI,12,humcap,Capital humano,Capacidades productivas,Control,Negativa,No significativo,-.053994,.224399,.810877,-.505178,.39719,Control incluido en la especificación; interpretar con cautela.,-.240617
ECI,13,innov,Innovación,Capacidades productivas,Control,Negativa,No significativo,-.036118,.048411,.459263,-.133454,.061219,Control incluido en la especificación; interpretar con cautela.,-.746072
ECI,14,net,Conectividad digital,Capacidades productivas,Control,Negativa,No significativo,-.001305,.00208,.533156,-.005487,.002876,Control incluido en la especificación; interpretar con cautela.,-.62773
ECI,15,log_gdppc,Logaritmo del PIB per cápita PPA,Controles económicos y financie,Control,Negativa,No significativo,-.045886,.2212,.836544,-.490638,.398866,Control incluido en la especificación; interpretar con cautela.,-.20744
ECI,16,govcons,Consumo final del gobierno (% PIB),Controles económicos y financie,Control,Negativa,No significativo,-.006048,.008948,.502371,-.024039,.011943,Control incluido en la especificación; interpretar con cautela.,-.675864
ECI,17,fin,Profundidad financiera,Controles económicos y financie,Control,Negativa,No significativo,-.000998,.002355,.673786,-.005733,.003738,Control incluido en la especificación; interpretar con cautela.,-.423549
